 # Band          M_def       X_def       Y_def      Z_def     M_mean      X_mean      Y_mean      Z_mean      M_rms       D_rms
         030   5.600E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.100E+01   0.000E+00
         044 -12.700E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.100E+01   0.000E+00
         070   1.200E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.100E+01   0.000E+00
  0.4-Haslam   3.000E+06   0.000E+07   0.000E+06   0.000E+06   3.000E+06   0.000E+00   0.000E+00   0.000E+00   0.130E+07   0.100E-05
 030-WMAP_Ka -10.600E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.100E-02   0.000E+00
 040-WMAP_Q1   3.300E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.100E+01   0.000E+00
 040-WMAP_Q2 -23.600E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.100E+01   0.000E+00
 060-WMAP_V1  -2.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.100E+01   0.000E+00
 060-WMAP_V2 -15.400E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.100E+01   0.000E+00
         857  -0.860E+06   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.100E+07   0.000E+00
